compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,LogP,TPSA,MolWt,NumHDonors,NumHAcceptors
Electrolyzed reduced water,Caenorhabditis elegans,N2,,,,17.3,S,13.8,,Unknown,,,No,23959012,,,,,
Lutein,Drosophila melanogaster,,0.1 mg/ml,,,11.4,S,,,Unknown,,,No,23993264,10.403299999999993,40.46,568.8860000000002,2.0,2.0
Sulfamethoxazole,Caenorhabditis elegans,N2,200 µM,,,28.0,S,0.0,,Unknown,,,No,24034891,1.3660199999999998,98.22,253.28300000000002,2.0,5.0
Sulfamethoxazole,Caenorhabditis elegans,N2,100 µM,,,34.0,S,0.0,,Unknown,,,No,24034891,1.3660199999999998,98.22,253.28300000000002,2.0,5.0
Sulfamethoxazole,Caenorhabditis elegans,N2,400 µM,,,18.0,S,0.0,,Unknown,,,No,24034891,1.3660199999999998,98.22,253.28300000000002,2.0,5.0
Nicotinamide,Caenorhabditis elegans,N2,100 µM,,,6.5,S,6.0,,Unknown,,,No,24077178,0.1805,55.980000000000004,122.12699999999998,1.0,2.0
1-methyl nicotinamide,Caenorhabditis elegans,N2,1 µM,,,7.7,S,11.0,,Unknown,,,No,24077178,-0.39000000000000007,46.97,137.16199999999998,1.0,1.0
GYY4137,Caenorhabditis elegans,N2,100 µM,,,0.4,NS,,,Unknown,,,No,24093496,1.4982,42.96,376.4840000000001,2.0,5.0
N-(3-(aminomethyl)benzyl)acetamidine,Drosophila melanogaster,Canton S,0.03 µM,,,3.0,S,13.0,,Male,,,No,24096697,1.0224000000000002,64.39999999999999,177.25099999999995,2.0,2.0
Wortmannin,Drosophila melanogaster,Canton S,5 µM,,,5.0,S,,,Male,,,No,24096697,2.5364000000000004,109.11000000000003,428.43700000000024,0.0,8.0
Pyrrolidine dithiocarbamate,Drosophila melanogaster,Canton S,125 µM,,,12.0,S,,,Female,,,No,24096697,1.2969,3.24,147.268,1.0,1.0
Pyrrolidine dithiocarbamate,Drosophila melanogaster,Canton S,125 µM,,,10.0,S,,,Male,,,No,24096697,1.2969,3.24,147.268,1.0,1.0
Peyssonnelia extract,Brachionus manjavacas,,2 µg/ml,,,8.5,S,,,Unknown,,,No,24120568,,,,,
Jania acutilobum extract,Brachionus manjavacas,,5 µg/ml,,,9.1,S,,,Unknown,,,No,24120568,,,,,
Acanthophora spicifera extract,Brachionus manjavacas,,5 µg/ml,,,14.0,S,,,Unknown,,,No,24120568,,,,,
Resveratrol,Daphnia pulex,,3 µM,,,-32.3,S,,,Unknown,,,No,24133070,2.973800000000002,60.69,228.24699999999999,3.0,3.0
Resveratrol,Daphnia pulex,,0.3 µM,,,-6.5,NS,,,Unknown,,,No,24133070,2.973800000000002,60.69,228.24699999999999,3.0,3.0
Resveratrol,Daphnia pulex,,3 µM,,,0.0,NS,,,Unknown,,,No,24133070,2.973800000000002,60.69,228.24699999999999,3.0,3.0
Resveratrol,Daphnia pulex,,0.3 µM,,,0.0,NS,,,Unknown,,,No,24133070,2.973800000000002,60.69,228.24699999999999,3.0,3.0
Vincristine sulfate,Caenorhabditis elegans,,88 µM,,,12.0,S,,,Unknown,,,No,24134630,2.864700000000004,245.76999999999998,923.0510000000004,5.0,14.0
Vinpocetine,Caenorhabditis elegans,,33 µM,,,15.0,S,,,Unknown,,,No,24134630,4.148300000000003,34.47,350.46200000000016,0.0,4.0
Tyrphostin AG 1478,Caenorhabditis elegans,,33 µM,,,11.0,S,,,Unknown,,,No,24134630,4.044000000000001,56.27000000000001,315.76000000000005,1.0,5.0
Trequinsin hydrochloride,Caenorhabditis elegans,,88 µM,,,27.0,S,,,Unknown,,,No,24134630,4.006560000000004,57.75,441.9590000000001,0.0,6.0
Psora-4,Caenorhabditis elegans,,88 µM,,,42.0,S,,,Unknown,,,No,24134630,4.9409000000000045,52.58,334.37100000000004,0.0,4.0
Thioridazine hydrochloride,Caenorhabditis elegans,,33 µM,,,31.0,S,,,Unknown,,,No,24134630,6.307400000000007,6.48,407.04800000000006,0.0,4.0
SU 4312,Caenorhabditis elegans,,88 µM,,,5.0,S,,,Unknown,,,No,24134630,3.245300000000001,32.34,264.328,1.0,2.0
Propionylpromazine hydrochloride,Caenorhabditis elegans,,33 µM,,,20.0,S,,,Unknown,,,No,24134630,5.255500000000006,23.550000000000004,376.95300000000015,0.0,4.0
Quinidine sulfate,Caenorhabditis elegans,,33 µM,,,12.0,S,,,Unknown,,,No,24134630,5.693600000000005,165.78,746.9270000000001,4.0,10.0
Nitrendipine,Caenorhabditis elegans,,88 µM,,,25.0,S,,,Unknown,,,No,24134630,2.5657000000000005,107.77,360.36600000000016,1.0,7.0
Pergolide methanesulfonate,Caenorhabditis elegans,,13 µM,,,37.0,S,,,Unknown,,,No,24134630,3.775100000000003,73.4,410.60500000000013,2.0,4.0
Promethazine hydrochloride,Caenorhabditis elegans,,176 µM,,,32.0,S,,,Unknown,,,No,24134630,4.6612000000000045,6.48,320.88899999999995,0.0,3.0
Nicardipine hydrochloride,Caenorhabditis elegans,,176 µM,,,23.0,S,,,Unknown,,,No,24134630,4.099600000000004,111.01,515.9940000000003,1.0,8.0
Oxatomide,Caenorhabditis elegans,,88 µM,,,25.0,S,,,Unknown,,,No,24134630,4.126900000000003,44.269999999999996,426.56400000000014,1.0,4.0
Octoclothepin maleate,Caenorhabditis elegans,,13 µM,,,38.0,S,,,Unknown,,,No,24134630,4.047600000000002,81.08,460.9830000000002,2.0,5.0
Nortriptyline hydrochloride,Caenorhabditis elegans,,88 µM,,,21.0,S,,,Unknown,,,No,24134630,4.248200000000004,12.03,299.84499999999997,1.0,1.0
Naftopidil dihydrochloride,Caenorhabditis elegans,,33 µM,,,14.0,S,,,Unknown,,,No,24134630,4.253900000000006,45.17,465.421,1.0,5.0
N-(2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide,Caenorhabditis elegans,,33 µM,,,35.0,S,,,Unknown,,,No,24134630,2.9006000000000016,44.81,373.884,1.0,4.0
Minocycline hydrochloride,Caenorhabditis elegans,,88 µM,,,29.0,S,,,Unknown,,,No,24134630,0.45180000000000037,164.63,493.94400000000013,5.0,9.0
Methylergonovine maleate,Caenorhabditis elegans,,88 µM,,,28.0,S,,,Unknown,,,No,24134630,1.6364999999999998,142.96,455.5110000000002,5.0,5.0
Mianserin,Caenorhabditis elegans,,50 µM,,,32.0,S,,,Unknown,,,No,24134630,3.0839000000000016,6.48,264.372,0.0,2.0
Metergoline,Caenorhabditis elegans,,33 µM,,,23.0,S,,,Unknown,,,No,24134630,4.064700000000003,46.5,403.5260000000001,1.0,4.0
"LY-367,265",Caenorhabditis elegans,,33 µM,,,34.0,S,,,Unknown,,,No,24134630,3.913700000000002,59.650000000000006,452.5550000000002,1.0,3.0
"LY-165,163",Caenorhabditis elegans,,33 µM,,,33.0,S,,,Unknown,,,No,24134630,3.652300000000002,32.5,349.40000000000003,1.0,3.0
Loxapine succinate,Caenorhabditis elegans,,88 µM,,,43.0,S,,,Unknown,,,No,24134630,3.707200000000001,102.67,445.90300000000025,2.0,6.0
Loratadine,Caenorhabditis elegans,,33 µM,,,18.0,S,,,Unknown,,,No,24134630,4.887800000000005,42.43,382.8910000000001,0.0,3.0
LFM-A13,Caenorhabditis elegans,,88 µM,,,27.0,S,,,Unknown,,,No,24134630,3.505680000000001,73.12,360.005,2.0,3.0
Ketanserin tartrate,Caenorhabditis elegans,,176 µM,,,13.0,S,,,Unknown,,,No,24134630,0.3012000000000004,190.23,545.5200000000003,5.0,9.0
Kenpaullone,Caenorhabditis elegans,,88 µM,,,27.0,S,,,Unknown,,,No,24134630,4.0920000000000005,44.89,327.181,2.0,1.0
Hexahydro-sila-diphenidol,Caenorhabditis elegans,,88 µM,,,15.0,S,,,Unknown,,,No,24134630,4.041700000000004,23.47,331.57599999999996,1.0,2.0
Guanabenz acetate,Caenorhabditis elegans,,88 µM,,,12.0,S,,,Unknown,,,No,24134630,1.6916,114.05999999999999,291.13800000000003,3.0,3.0
Guanfacine hydrochloride,Caenorhabditis elegans,,13 µM,,,15.0,S,,,Unknown,,,No,24134630,1.7576999999999998,81.47,282.55799999999994,2.0,1.0
Eliprodil,Caenorhabditis elegans,,88 µM,,,16.0,S,,,Unknown,,,No,24134630,4.467200000000005,23.47,347.86100000000005,1.0,2.0
Doxycycline hydrochloride,Caenorhabditis elegans,,33 µM,,,18.0,S,,,Unknown,,,No,24134630,-0.08239999999999958,181.62000000000003,480.9010000000001,6.0,9.0
Doxazosin mesylate,Caenorhabditis elegans,,33 µM,,,15.0,S,,,Unknown,,,No,24134630,1.2218000000000007,166.64,547.5900000000003,2.0,11.0
Dihydroergocristine methanesulfonate,Caenorhabditis elegans,,176 µM,,,34.0,S,,,Unknown,,,No,24134630,2.221200000000002,172.57999999999998,707.8500000000001,4.0,8.0
Demeclocycline hydrochloride,Caenorhabditis elegans,,33 µM,,,16.0,S,,,Unknown,,,No,24134630,0.5300999999999998,181.61999999999998,501.31900000000013,6.0,9.0
Dihydroergotamine methanesulfonate,Caenorhabditis elegans,,88 µM,,,24.0,S,,,Unknown,,,No,24134630,1.5851000000000033,172.57999999999998,679.796,4.0,8.0
